Question,Ground_Truth
Ai là người nghiên cứu sinh nổi tiếng trong Triple: Emilio G. Segrè - Các nghiên cứu sinh nổi tiếng - /Samarendra Nath Ghoshal?,/Samarendra Nath Ghoshal
Ai là người đã được trao Giải Nobel Kinh Tế?,Giải Nobel Kinh Tế
Corneille Heymans sinh ở thành phố nào?,Gent
Quốc gia nào Ellen Johnson Sirleaf sinh ra?,Liberia
Quốc tịch của Eric Betzig là gì?,Hoa Kỳ
Emil Adolf Von Behring mất ở đâu?,/Hesse-Nassau
Nơi sinh của Ellen Johnson Sirleaf là thành phố nào?,Monrovia
Ai là người hướng dẫn luận án tiến sĩ của Dudley R. Herschbach?,Không có người hướng dẫn tiến sĩ
Ernest Lawrence là thành viên của Viện Hàn Lâm Khoa Học Quốc Gia Hoa Kỳ hay không?,/Thành Viên Của Viện Hàn Lâm Khoa Học Quốc Gia Hoa Kỳ
Edward Calvin Kendall đã có mối liên kết gì với /Princeton?,/Princeton
David J. Thouless công tác ở đâu?,Đại Học Birmingham
Ngày nào Ernest Rutherford mất?,19 Tháng 10
Trường nào mà Elias James Corey đã giảng dạy?,Viện Công Nghệ Massachusetts
Nơi nào là nơi mà Edwin McMillan đã mất?,El Cerrito
Quốc tịch của Edward B. Lewis là gì?,Hoa Kỳ
Edward Mills Purcell sinh ở đâu?,"Taylorville, Illinois"
Ai là người đã đồng thời giành giải Nobel và thành lập công ty dược phẩm Janssen Pharmaceuticals?,/Paul Janssen
Elizabeth Blackburn đã nhận giải thưởng nào?,Giải Wiley
Bạn có thể cung cấp liên kết đến luận án của Edward Teller không?,Http://Www.Worldcat.Org/Oclc/46098336
Dmitry Muratov đã nhận giải thưởng nào?,Giải Nobel Hòa Bình
Quốc tịch của Eduard Buchner là gì?,Đức
Ai đã nhận giải thưởng /Albert Einstein Award?,/Albert Einstein Award
Ai là người đã làm việc cùng với Emil Fischer trong lĩnh vực nghiên cứu hóa học?,/Alfred Stock
Ernest Lawrence làm việc tại đâu?,Phòng Thí Nghiệm Quốc Gia Lawrence Berkeley
Czesław Miłosz làm nghề gì?,Nhà Văn
Ai là người đã được trao Huân Chương Khoa Học Quốc Gia?,Huân Chương Khoa Học Quốc Gia
Thành phố nào là nơi Dan Shechtman sinh ra?,Tel Aviv
Ai là người hướng dẫn luận án tiến sĩ của Emil Fischer?,Adolf Von Baeyer
Quốc tịch của Edwin McMillan là gì?,Hoa Kỳ
Nơi Edward Mills Purcell mất là ở đâu?,Hoa Kỳ
Elias James Corey đã đạt được giải thưởng nào trong lĩnh vực Hóa Học?,Giải Nobel Hóa Học
Ai là người hướng dẫn luận án tiến sĩ của Donald A. Glaser?,Carl David Anderson
Quốc tịch của Edward Adelbert Doisy là gì?,Hoa Kỳ
Dario Fo là người nước nào?,Ý
Derek Barton sinh ở đâu?,"/Gravesend, Kent"
Ai đã được trao Giải Nobel Hóa Học?,Giải Nobel Hóa Học
Bạn sống ở đâu?,/Bellshill
Ernest Rutherford sinh ở đâu?,New Zealand
"Bạn đang làm việc tại đâu, Daniel McFadden?","Đại Học California, Berkeley"
Nơi nào Edward Lawrie Tatum mất?,Thành Phố New York
Ai là những người đã đoạt Giải Nobel Hóa Học?,Danh Sách Người Đoạt Giải Nobel Hóa Học
Elizabeth Blackburn đã đoạt giải thưởng nào?,Giải Thưởng Của Úc
Trường Đại học nào mà Edwin G. Krebs đã tham gia giảng dạy?,/Đại Học Illinois Tại Urbana-Champaign
Quốc tịch của Elinor Ostrom là gì?,Hoa Kỳ
Ai là người đã được trao Huy Chương John Bates Clark?,Huy Chương John Bates Clark
Người nổi tiếng nào sinh ra tại Jönköping?,Jönköping
Edward Adelbert Doisy mất ở đâu?,"St. Louis, Missouri"
Dmitry Muratov sinh ở đâu?,Samara (Tỉnh
Edward Teller đã đạt được bằng cấp nào?,Bachelor Of Science
Ai đã giành được Huy Chương Albert?,/Huy Chương Albert
Emil Fischer làm việc tại đâu?,Đại Học Berlin
Derek Barton đã nhận được giải thưởng nào?,Huy Chương Copley
Năm nào Czesław Miłosz sinh ra?,1911
Nơi sinh của Craig Mello là ở đâu?,Connecticut
Eduard Buchner sinh ở thành phố nào?,München
Craig Mello học tại trường đại học nào?,Đại Học Harvard
Nơi Clive Granger công tác là đâu?,Đại Học Nottingham
Ernest Rutherford đã từng giảng dạy ở trường lớp nào?,/Đại Học Canterbury
Elinor Ostrom làm việc tại đâu?,/Đại Học Indiana Cơ Sở Bloomington
Ai là người hướng dẫn tiến sĩ cho Drew Weissman?,Không có người hướng dẫn tiến sĩ
Ai đã giành Giải Nobel Kinh Tế?,Giải Nobel Kinh Tế
Daniel Nathans sinh ở đâu?,Hoa Kỳ
Danh sách những ai đã đoạt Giải Nobel Hóa Học?,Danh Sách Người Đoạt Giải Nobel Hóa Học
Trường đại học nào mà Elizabeth Blackburn đã từng làm việc?,Đại Học Cambridge
Elias James Corey làm việc ở đâu?,Đại Học Harvard
Đâu là nơi Drew Weissman sinh ra?,"/Lexington, Massachusetts"
Trường đại học nào mà David J. Wineland đã theo học?,Đại Học California Tại Berkeley
Nơi nào Elizabeth Blackburn công tác?,Đại Học Yale
Quốc tịch của Elias James Corey là gì?,Hoa Kỳ
Thành phố nào là nơi Dag Hammarskjöld mất?,Ndola
Edward C. Prescott là giáo sư tại trường đại học nào?,/Case Western Reserve University
Trường đại học nào mà Edmund Phelps là giáo sư tại đó?,/Amherst College
Corneille Heymans sinh sống và qua đời tại đâu?,Flanders
Bạn nghĩ Daniel McFadden là giáo sư tại đâu?,Đại Học Minnesota
Nơi công tác của Elizabeth Blackburn là đâu?,/Viện Salk
Ở bang nào Eric Allin Cornell sinh ra?,California
Đâu là nơi sinh của Dominique Pire?,Dinant
Daniel Nathans sinh ở tiểu bang nào?,Delaware
Quốc tịch của nhà khoa học Ernest Rutherford là gì?,New Zealand
Trường đại học nào David J. Thouless tốt nghiệp?,"/Trinity Hall, Cambridge"
Eduard Buchner qua đời ở thành phố nào?,München
Daron Acemoglu làm việc tại đâu?,Viện Công Nghệ Massachusetts
Trường đại học nào Duncan Haldane đã theo học?,"/Christ'S College, Cambridge"
Edward B. Lewis là giáo sư tại trường đại học nào?,Học Viện Công Nghệ California
Danh sách những người đã đoạt Giải Nobel Sinh lý học và Y khoa bao gồm những ai?,Danh Sách Người Đoạt Giải Nobel Sinh Lý Học Và Y Khoa
Giải thưởng nào mà Daron Acemoglu đã nhận từ lĩnh vực Kinh tế?,/Erwin Plein Nemmers Prize In Economics
Edwin G. Krebs mất ở thành phố nào?,Seattle
Đâu là nơi mà Edward Condon công tác?,Đại Học Princeton
Quốc tịch của Edward Adelbert Doisy là gì?,Hoa Kỳ
Emilio G. Segrè đã được trao giải thưởng nào vào lĩnh vực nào?,Giải Nobel Vật Lý
Trường đại học nào Eduard Buchner đã tham gia công tác giảng dạy?,"/Đại Học Ludwig Maximilians, Munich"
Ai là người cùng với Edward Teller nghiên cứu sinh nổi tiếng?,Yang Chen-Ning
Trường đại học nào mà Edmund Phelps từng làm giáo sư?,Đại Học Yale
Elizabeth Blackburn đã nhận giải thưởng nào?,Giải Rosenstiel
Douglass North làm việc ở đâu?,Đại Học Stanford
"Đề xuất một câu hỏi: ""Nơi nào có thông tin về luận án của David MacMillan về việc hình thành stereokontrolled của các bicyclic tetrahydrofurans và tổng hợp enantioselective của eunicellin diterpenes?""",Https://Www.Worldcat.Org/Title/Stereocontrolled-Formation-Of-Bicyclic-Tetrahydrofurans-And-Enantioselective-Total-Synthesis-Of-Eunicellin-Diterpenes/Oclc/35966904
Nơi David Julius công tác là trường đại học nào?,"/Đại Học California, San Francisco"
Emil Fischer làm việc tại đâu?,Đại Học Munich
Ở bang nào Ei-Ichi Negishi mất?,Indiana
Quốc tịch của Dan Shechtman là gì?,Israel
Ai là người hướng dẫn luận án tiến sĩ của Donald J. Cram?,/Louis Fieser
Ở đâu Edward Lawrie Tatum làm việc?,Đại Học Stanford
Ai là người được đề cập trong Triple: Edward Mills Purcell - Các nghiên cứu sinh nổi tiếng - /George Pake?,/George Pake
Ở đâu Edwin McMillan sinh?,/Redondo Beach
Ở bang nào David J. Wineland sinh ra?,Wisconsin
Edward C. Prescott sinh ở đâu?,"Glens Falls, New York"
Quốc tịch của Daron Acemoglu là gì?,Thổ Nhĩ Kỳ
Quốc tịch của Donald A. Glaser là gì?,Hoa Kỳ
Czesław Miłosz đã làm nghề gì?,Nhà Thơ
Ai là người được đề cử cùng với Daniel McFadden trong Triple về các nghiên cứu sinh nổi tiếng?,/Walter Erwin Diewert
Ở đâu Edward Teller sinh ra?,Budapest
Nơi Edward Victor Appleton công tác là gì?,Đại Học Edinburgh
Edward Mills Purcell mất tại tiểu bang nào?,Massachusetts
Ai là người hướng dẫn luận án tiến sĩ của Ernest Lawrence?,Không có người hướng dẫn tiến sĩ
Donna Strickland đã giành giải thưởng nào trong lĩnh vực Vật Lý?,Giải Nobel Vật Lý
Donald A. Glaser làm việc ở đâu?,Đại Học California Tại Berkeley
Ai là người hướng dẫn luận án tiến sĩ của Edwin McMillan?,Không có người hướng dẫn tiến sĩ
Emil Fischer sinh ở đâu?,Rhein
Edward Teller làm việc tại đâu?,Đại Học George Washington
Drew Weissman học vị ở đâu?,Đại Học Boston
Danh sách những người đã đoạt Giải Nobel Kinh tế?,Danh Sách Người Đoạt Giải Nobel Kinh Tế
Ai đã được trao Giải L'Oréal-UNESCO Cho Phụ Nữ Trong Khoa Học?,Giải L'Oréal-UNESCO Cho Phụ Nữ Trong Khoa Học
Giải thưởng nào Elie Wiesel từng nhận liên quan đến /The Canterbury Medal?,/The Canterbury Medal
Giải thưởng nào mà Elizabeth Blackburn đã đoạt được?,/Giải Dr A.H. Heineken Prize
Bạn có thể cho biết địa điểm sinh của Daniel McFadden là ở đâu không?,"Raleigh, North Carolina"
Đâu là danh hiệu được Edward Victor Appleton vinh dự nhất trong lĩnh vực Vật lý?,/Huy Chương Và Giải Thưởng Của Viện Vật Lý Edward Appleton
Nơi Edward Teller công tác là đâu?,Đại Học Chicago
Nơi công tác của Edward Calvin Kendall là gì?,/St. Luke'S-Roosevelt Hospital Center
Ai đã được trao /Huy Chương Faraday?,/Huy Chương Faraday
Dorothy Hodgkin là người nước nào?,Ai Cập
Giải thưởng nào được Edward Teller nhận được?,/Eringen Medal
Eisaku Satō là người nước nào?,Nhật Bản
Emil Fischer sinh vào ngày nào?,9 Tháng 10
Craig Mello làm việc tại đâu?,/Đại Học Y Khoa Massachusetts
Daniel Kahneman đã đạt được học vị ở trường đại học nào?,"/Đại Học Hebrew, Jerusalem"
Emil Fischer sinh vào năm nào?,1852
David Card đã nhận giải thưởng nào?,/Giải BBVA Foundation Frontiers Of Knowledge
Emil Fischer làm việc tại nơi nào vào năm nào?,1919
Trường đại học nào Drew Weissman đã nhận học vị của mình?,Đại Học Brandeis
David J. Wineland đã nhận được giải thưởng nào?,Huân Chương Khoa Học Quốc Gia
Ai là người hướng dẫn tiến sĩ cho Emilio G. Segrè?,Không có người hướng dẫn tiến sĩ
Năm nào Edward Mills Purcell đã nhận Giải thưởng?,1967
Nơi nào Edwin G. Krebs mất?,Washington
Edward Mills Purcell sinh ở tiểu bang nào?,Illinois
Quốc gia nào là quê hương của David J. Thouless?,Scotland
Nơi nào Edwin McMillan đã mất?,California
Trường đại học nào mà Ei-Ichi Negishi từng giảng dạy tại?,Đại Học Tōkyō
Eisaku Satō sinh ở đâu?,"Tabuse, Yamaguchi"
Dudley R. Herschbach làm việc tại đâu?,Đại Học Freiburg
Người nào đã đoạt giải thưởng được coi là giải thưởng danh giá nhất trong lĩnh vực hóa học?,Giải Willard Gibbs
Giải thưởng nào được Daniel Kahneman giành được liên quan đến nền kinh tế?,/Giải Thưởng Leontief
Năm nào Donald A. Glaser được trao giải Nobel Vật lý vì phát minh ra phương pháp phối ngẫu?,1975
Donna Strickland sinh ở đâu?,/Guelph
Trường đại học nào mà Edward C. Prescott từng giảng dạy?,Carnegie Mellon University
Edward Lawrie Tatum làm việc tại đâu?,/Viện Rockefeller
Ai là người đã ảnh hưởng đến Douglass North?,/Melvin M. Knight
David MacMillan công tác ở đâu?,"Đại Học California, Berkeley"
Năm nào Elias James Corey đã giành giải thưởng?,1981
Ai là người hướng dẫn luận án tiến sĩ của Alfred Sturtevant?,Alfred Sturtevant
Corneille Heymans sinh ở đâu?,Flanders
Daniel McFadden làm việc tại trường đại học nào?,MIT
Eric Allin Cornell công tác tại trường đại học nào?,/Đại Học Colorado Tại Boulder
Ở đâu Edward Victor Appleton sinh?,Tây Yorkshire
Ai là người đã nhận Giải Nobel Kinh Tế?,Giải Nobel Kinh Tế
Danh sách người đoạt Giải Nobel Sinh Lý Học và Y Khoa là gì?,Danh Sách Người Đoạt Giải Nobel Sinh Lý Học Và Y Khoa
Ai đã được trao Giải Nobel Vật Lý?,Giải Nobel Vật Lý
Derek Walcott sinh ra ở đâu?,/Gros-Islet
Quốc tịch của Craig Mello là gì?,Hoa Kỳ
Năm nào Elias James Corey đã giành giải thưởng?,1984
David J. Thouless công tác tại đâu?,"Đại Học California, Berkeley"
Elizabeth Blackburn đã được trao giải thưởng nào?,Giải Passano
Ai là người nghiên cứu sinh nổi tiếng được kết nạp vào nhóm nghiên cứu của Edward Teller?,/Marshall Rosenbluth
Trường đại học nào mà Elizabeth Blackburn đã từng làm việc tại?,Đại Học Melbourne
Trường đại học nào mà Dennis Gabor từng giảng dạy tại?,Đại Học Kỹ Thuật Berlin
Eduard Buchner sống và mất ở quốc gia nào?,Đức
Ai là người nghiên cứu sinh nổi tiếng kết hợp với Edward Mills Purcell?,/George Benedek
Nơi Dennis Gabor sinh vào năm 1900?,Budapest
Edward Mills Purcell đã làm việc tại đâu?,Đại Học Harvard
Edward Teller làm việc tại dự án nào?,Dự Án Manhattan
Dorothy Hodgkin sinh ở đâu?,Cairo
Ai đã được trao giải Irving Langmuir?,Giải Irving Langmuir
Dan Shechtman làm việc tại đâu?,/Phòng Tiêu Chuẩn Quốc Gia Hoa Kỳ
Đâu là thành phố mà Daniel Kahneman đã mất?,Thành Phố New York
Daron Acemoglu đã nhận giải thưởng nào?,/Giải Thưởng John Von Neumann
Dan Shechtman làm việc ở đâu?,/Đại Học Bang Iowa
Edward Calvin Kendall từng làm việc tại công ty nào?,/Parke-Davis
Elie Wiesel đã nhận được giải thưởng nổi bật nào?,Giải Nobel Hòa Bình
Thành phố nào là nơi sinh của Derek Walcott?,Castries
Trường đại học nào mà Copernicus đã theo học?,Đại Học Padova
Quốc gia nào là quê hương của Daron Acemoglu?,Thổ Nhĩ Kỳ
Người nào là người hướng dẫn luận án tiến sĩ của Edward Condon?,Không có người hướng dẫn tiến sĩ
"Nơi nào Earl Wilbur Sutherland, Jr mất?",Florida
Danh sách những người đoạt Giải Nobel Hóa Học bao gồm những ai?,Danh Sách Người Đoạt Giải Nobel Hóa Học
Nơi công tác của Edward Teller là đâu?,Phòng Thí Nghiệm Quốc Gia Lawrence Livermore
"Người nào đã được trao giải thưởng ""Huy Chương Hoàng Gia""?",/Huy Chương Hoàng Gia
Emilio G. Segrè làm việc tại đâu?,Đại Học Palermo
Nơi Derek Barton mất là ở đâu?,"College Station, Texas"
Năm nào Dorothy Hodgkin sinh ra?,1910
Ngày sinh của Elias James Corey là khi nào?,12 Tháng 7
Emilio G. Segrè làm việc tại đâu?,Đại Học California Tại Berkeley
Duncan Haldane đã nhận được giải thưởng nào trong lĩnh vực Vật Lý?,Giải Nobel Vật Lý
Edward Teller làm việc tại đâu?,Đại Học California Tại Davis
"Ai là tác giả của cuốn sách ""Các sinh viên nổi tiếng""?",/Keith J. Laidler
Quốc tịch của Dudley R. Herschbach là gì?,Hoa Kỳ
Bạn có biết trường đại học nào Dominique Pire đã tham gia làm việc không?,/Đại Học Giáo Hoàng Thánh Thomas Aquinas (''Angelicum''
Ei-ichi Negishi làm việc ở đâu?,Đại Học Purdue
Trường học nào Copernicus đã theo học?,Đại Học Bologna
Năm nào Ernest Rutherford mất?,1937
Thành phố nào là nơi Ei-ichi Negishi mất?,Indianapolis
David J. Wineland đã nhận được giải thưởng nào trong lĩnh vực khoa học laser?,/Arthur L. Schawlow Prize In Laser Science
Nơi sinh của Elias James Corey là ở đâu?,"Methuen, Massachusetts"
Edward Calvin Kendall học tại trường đại học nào?,Đại Học Columbia
Ai đã được trao Giải Enrico Fermi?,Giải Enrico Fermi
Danh sách những người đã đoạt Giải Nobel Hóa Học bao gồm những ai?,Danh Sách Người Đoạt Giải Nobel Hóa Học
"Đề xuất của tôi là: ""Donna Strickland đã hoàn thành công việc nghiên cứu gì để đạt được Luận án tiến sĩ?""",Luận án tiến sĩ
Năm nào Eisaku Satō mất?,1975
Dag Hammarskjöld mất ở đâu?,Bắc Rhodesia
Trường đại học nào mà Edward Lawrie Tatum từng làm việc tại?,Đại Học Wisconsin–Madison
Edward C. Prescott đã từng được trao tặng giải thưởng nào?,Giải Nobel
David MacMillan đạt được học vị nào?,Thạc Sĩ Khoa Học
Ai là người có liên quan đến nghiên cứu sinh nổi tiếng Elias James Corey?,/KC Nicolaou
David MacMillan là thành viên của Viện Hàn Lâm Khoa Học Quốc Gia không?,/Thành Viên Của Viện Hàn Lâm Khoa Học Quốc Gia
Quê hương của David MacMillan là đâu?,Scotland
Ai là người phối ngẫu của David Julius?,/Holly Ingraham
Dominique Pire mất ở đâu?,Leuven
Trường đại học nào mà Edwin G. Krebs đã từng giảng dạy?,Đại Học Washington Tại St. Louis
Trường nào mà Edward Lawrie Tatum từng làm giáo sư?,Đại Học Chicago
Edward B. Lewis sinh ở tiểu bang nào?,Pennsylvania
Enrico Fermi làm việc ở đâu?,Đại Học Chicago
Ai đã được trao giải thưởng của Hiệp Hội Tâm Lý Học Hoa Kỳ?,Hiệp Hội Tâm Lý Học Hoa Kỳ
Nơi sinh của Eric Allin Cornell là ở đâu?,Palo Alto
Ai là người cộng tác với Daniel Kahneman trong các nghiên cứu nổi tiếng?,/Avishai Henik
Edwin McMillan làm việc ở đâu?,/Phòng Thí Nghiệm Bức Xạ Berkeley
Edward Mills Purcell đã dạy ở trường đại học nào?,Đại Học Purdue
"Ai là tác giả của tác phẩm ""Tân Kinh""?",Tân Kinh
"Đây là câu hỏi tương ứng: ""Elizabeth Blackburn đã nhận được giải thưởng nào cho nghiên cứu y học cơ bản?""",Giải Albert Lasker Cho Nghiên Cứu Y Học Cơ Bản
Edwin McMillan làm việc ở đâu?,Đại Học California Tại Berkeley
"Elizabeth Blackburn đã nhận được giải thưởng nào từ tổ chức Alfred P. Sloan, Jr?","Giải Alfred P. Sloan, Jr"
Quốc tịch của Edward Victor Appleton là gì?,Vương Quốc Liên Hiệp Anh Và Bắc Ireland
Đâu là thành phố sinh của Daniel Kahneman?,Tel Aviv
"Earl Wilbur Sutherland, Jr làm việc tại đâu?",/Đại Học Vanderbilt
Dmitry Muratov sinh ở đâu?,"Samara, Nga"
Năm nào Elias James Corey đã được trao Giải thưởng?,1989
Ai là người được hướng dẫn luận án tiến sĩ bởi Dudley R. Herschbach?,/Edgar Bright Wilson
Derek Walcott đã đạt được giải thưởng nổi bật nào trong lĩnh vực văn học?,Giải Nobel Văn Học
Năm nào Elias James Corey đã đoạt giải thưởng?,1988
Quốc tịch của Derek Barton là gì?,Anh
Edward Condon làm việc tại đâu?,/Đại Học Colorado Boulder
Bạn biết Trường lớp nào Copernicus đã học trước khi nhập học tại đâu không?,/Đại Học Ferrara
Ai là người đã sinh ra Derek Barton?,Anh
Dennis Gabor làm việc ở đâu?,/Imperial College London
Dorothy Hodgkin học tại trường lớp nào trước khi vào Đại Học Cambridge?,Đại Học Cambridge
Dag Hammarskjöld qua đời trong một tai nạn máy bay khi đang trên đường tới nước nào?,Liên Bang Rhodesia Và Nyasaland
"Năm nào Earl Wilbur Sutherland, Jr sinh ra?",1915
Ngày nào Edward Mills Purcell sinh?,30 Tháng 8
Dennis Gabor làm việc tại công ty nào?,/British Thomson-Houston
"Ai là người được nhắc đến trong Triple ""David MacMillan - Các nghiên cứu sinh nổi tiếng - /Tristan Lambert""?",/Tristan Lambert
David Julius sinh ở đâu?,/Brighton Beach
Quốc gia nào là quê hương của Daniel Kahneman?,Israel
Ai là người được nhắc đến trong Triple Elias James Corey - Các nghiên cứu sinh nổi tiếng - /William L. Jorgensen?,/William L. Jorgensen
Ai là người nghiên cứu được liên kết với Ernest Rutherford trong lĩnh vực khoa học?,/Mark Oliphant
Nơi sinh của Edwin G. Krebs là ở đâu?,Iowa
Trường đại học nào mà Cyril Norman Hinshelwood từng học tại?,Đại Học Oxford
Ai là người hướng dẫn luận án tiến sĩ của Dorothy Hodgkin?,/JD Bernal
Ai là người tiếp theo trong chuỗi Triple: Edward Victor Appleton - Các sinh viên nổi tiếng - ?,/J. A. Ratcliffe
Ai là người nghiên cứu sinh nổi tiếng liên quan đến Ernest Lawrence?,Ngô Kiện Hùng
Czesław Miłosz đã giành được giải thưởng nổi bật nào trong lĩnh vực văn học?,Giải Nobel Văn Học
Edward Teller sinh ở quốc gia nào?,Áo-Hung
David MacMillan có học vị gì?,/Tiến Sĩ Triết Học
Desmond Tutu sinh ở quốc gia nào?,Nam Phi
"Ai là người được đề cử cùng với Elias James Corey trong danh sách ""Các nghiên cứu sinh nổi tiếng""?",/Hisashi Yamamoto
Bạn có biết trường đại học nào mà Dudley R. Herschbach từng giảng dạy không?,Đại Học Harvard
Nơi sinh của Donald A. Glaser là ở đâu?,"Cleveland, Ohio"
Edward Teller đã nhận được giải thưởng nào từ chính phủ Mỹ?,National Medal Of Science
Nơi sinh của David J. Wineland là ở đâu?,Milwaukee
Emil Fischer được công nhận tại nơi công tác nào vào năm nào?,1881
Ai là nhà tâm lý học nổi tiếng nghiên cứu về hiện tượng phối ngẫu?,/Anne Treisman
Craig Mello đã nhận được giải thưởng nào?,Giải Quốc Tế Quỹ Gairdner
Nơi Donald A. Glaser công tác là đâu?,Đại Học Michigan
Cuối cùng của tháng nào Eric Maskin sinh?,12 Tháng 12
Quốc tịch của Craig Mello là gì?,United States
Ở đâu Czesław Miłosz đã mất?,Kraków
Edward Teller làm việc ở đâu?,/University College London
Daniel Kahneman làm việc tại đâu?,/Trung Tâm Nghiên Cứu Cấp Cao Về Khoa Học Hành Vi
Eric Allin Cornell sinh ở đâu?,Hoa Kỳ
David MacMillan đã đoạt giải thưởng nào trong lĩnh vực hóa học?,Giải Nobel Hóa Học
Ngày nào Donald A. Glaser sinh?,21 Tháng 9
"Derek Walcott đã từng giành giải thưởng nào trong danh sách sau: ""/Giải T. S. Eliot""?",/Giải T. S. Eliot
"Ai là người nghiên cứu sinh nổi tiếng được đề cử trong Triple ""David MacMillan - Các nghiên cứu sinh nổi tiếng - /Tehshik Yoon""?",/Tehshik Yoon
Emilio G. Segrè sinh ở đâu?,Ý
Ai là người hướng dẫn luận án tiến sĩ của David MacMillan?,Không có người hướng dẫn tiến sĩ
Ngày nào Czesław Miłosz sinh?,30 Tháng 6
Ai là người hướng dẫn luận án tiến sĩ của Edward Mills Purcell?,/John Van Vleck
Daniel Kahneman nơi công tác ở đâu?,Đại Học Princeton
Emil Fischer học ở trường nào?,/Đại Học Strasburg
Năm sinh của Elias James Corey là năm nào?,1928
Emmanuelle Charpentier đã nhận được giải thưởng nào trong lĩnh vực Khoa học Sinh học?,/Breakthrough Prize In Life Sciences
David Julius đã đạt được thành tựu gì nổi bật trong lĩnh vực nào?,Giải Nobel Sinh Lý Học Hoặc Y Học
Ai là người hướng dẫn luận án tiến sĩ của Emil Fischer?,Không có người hướng dẫn tiến sĩ
Edward Condon qua đời ở đâu?,"Boulder, Colorado"
Ai là người hướng dẫn luận án tiến sĩ của Daniel Kahneman?,/Susan M. Ervin-Tripp
Đâu là trường đại học mà Donna Strickland là giáo sư?,McMaster University
Ai đã được trao Giải Nobel Hóa Học?,Giải Nobel Hóa Học
Nơi ông Donald A. Glaser mất là ở đâu?,California
Emil Fischer mất ở thành phố nào?,Berlin
Doris Lessing đã đạt được giải thưởng nổi bật nào trong lĩnh vực văn học?,Giải Nobel Văn Học
Edward Teller làm việc tại đâu?,/Viện Công Nghệ Florida
Trường đại học nào mà Ei-Ichi Negishi giảng dạy?,Đại Học Pennsylvania
Quốc tịch của Edward Mills Purcell là gì?,Hoa Kỳ
Ai là người được Daniel McFadden hướng dẫn luận án tiến sĩ?,Leonid Hurwicz
Trường nào mà Eric Betzig đã tốt nghiệp để sau này anh trở thành một nhà khoa học nổi tiếng?,Viện Công Nghệ California
Ở đâu Edward Condon sinh ra?,"Alamogordo, New Mexico"
Donald J. Cram làm việc tại công ty nào?,/Merck & Co
Quốc tịch của Edward Mills Purcell là gì?,Hoa Kỳ
Edward Teller đã học tại trường lớp nào?,/University Of Leipzig
Daniel Nathans đã đoạt giải thưởng nào?,Giải Sinh Học Phân Tử Của Viện Hàn Lâm Khoa Học Quốc Gia Hoa Kỳ
Ernest Lawrence đã đạt được bằng cấp học vị nào?,Doctor Of Philosophy
Ai là người đã sinh ra Ei-Ichi Negishi?,Mãn Châu Quốc
Nơi nào Copernicus đã qua đời?,Frombork
Năm nào Dorothy Hodgkin nhận Giải thưởng?,1964
Bạn biết trường đại học nào Dorothy Hodgkin đã theo học không?,"Somerville College, Oxford"
Ai là người nghiên cứu sinh nổi tiếng trong Triple: Emil Fischer - Các nghiên cứu sinh nổi tiếng - /Ludwig Knorr?,/Ludwig Knorr
Donald J. Cram làm việc tại đâu?,Đại Học California Tại Los Angeles
Ở đâu là nơi sinh của Elfriede Jelinek?,Mürzzuschlag
Derek Barton làm việc tại trường đại học nào?,/Imperial College London
Edwin G. Krebs đã đạt được bằng cấp nào?,/Cử Nhân Khoa Học
Donald J. Cram làm việc tại đâu?,Học Viện Công Nghệ Massachusetts
Daniel Kahneman làm việc tại trường đại học nào?,Đại Học British Columbia
"Nơi Earl Wilbur Sutherland, Jr mất là ở đâu?","Miami, Florida"
Ai là người sinh ra Edward Victor Appleton?,Anh
Daniel Kahneman nơi công tác ở đâu?,"Đại Học California, Berkeley"
Eduard Buchner sinh ở đâu?,Đức
Elizabeth Blackburn công tác tại đâu?,Đại Học California Tại San Francisco
David Julius học tại trường lớp nào?,Viện Công Nghệ Massachusetts
Vai trò nào mà Elizabeth Blackburn đóng trong việc hướng dẫn luận án tiến sĩ?,Không có người hướng dẫn tiến sĩ
Eric Allin Cornell làm việc tại đâu?,/Viện Công Nghệ Và Tiêu Chuẩn Quốc Gia
Ai là người hướng dẫn luận án tiến sĩ của Elias James Corey?,/John C. Sheehan
Edward Adelbert Doisy sinh ở tiểu bang nào?,Illinois
Quốc tịch của Dorothy Hodgkin là gì?,Anh
Emil Fischer đoạt giải thưởng nào vào năm nào?,1902
Quốc tịch của Edmund Phelps là gì?,Hoa Kỳ
Craig Mello đã đạt được danh hiệu nào trong lĩnh vực của mình?,Giải Nobel Sinh Lý Học Và Y Khoa
Elie Wiesel sinh ở đâu?,/Kingdom Of Romania
Ai là người được kết nối với Emil Fischer trong lĩnh vực nghiên cứu?,/Oskar Piloty
Daniel Kahneman là người hướng dẫn luận án tiến sĩ hay không?,Không có người hướng dẫn tiến sĩ
Clive Granger làm việc tại đâu?,"Đại Học California, San Diego"
Dmitry Muratov học vị gì?,/Đại Học Nhà Nước Samara
Ai là người thắng giải Nobel Hóa học năm 2001?,/Ryoji Noyori
Edward Calvin Kendall đã được trao giải thưởng nào?,Giải Passano
Ai là nhà thiên văn học nổi tiếng đã sinh ra tại Vương Quốc Ba Lan từ năm 1385 đến 1569?,/Vương Quốc Ba Lan (1385–1569
Ai là người hướng dẫn luận án tiến sĩ của Elias James Corey?,Không có người hướng dẫn tiến sĩ
