Question,Ground_Truth
Nơi Adolf Butenandt công tác là đâu?,/Viện Hóa Sinh Max Planck
Ai là người hướng dẫn luận án tiến sĩ của Adolf Butenandt?,Adolf Otto Reinhold Windaus
Ngày nào Albert Schweitzer mất?,4 Tháng 9
Alan MacDiarmid mất ở đâu?,Hoa Kỳ
Quốc gia nào Abhijit Banerjee sinh ra?,Ấn Độ
Abiy Ahmed đã theo học ở trường đại học nào?,/Đại Học Addis Ababa
Quốc tịch của Adolf Otto Reinhold Windaus là gì?,Đức
Ahmed Zewail đã đoạt giải thưởng danh giá nào trong lĩnh vực Hóa Học?,Giải Nobel Hóa Học
Quốc gia nào Adolf Otto Reinhold Windaus mất?,Đức
"Ai là người được biết đến trong lĩnh vực nghiên cứu sinh học và hóa học hữu cơ, cùng với Adolf Otto Reinhold Windaus?",Adolf Butenandt
Năm sinh của Albert Claude là bao nhiêu?,1899
Thành phố nào là nơi Aage Bohr mất?,Copenhagen
Quốc tịch của Ahmed Zewail là gì?,Hoa Kỳ
