Question,Ground_Truth
Nơi Charles J. Pedersen sinh là thành phố nào?,Busan
Corneille Heymans làm việc tại đâu?,/Đại Học Ghent
Ở đâu Anne L'Huillier sinh?,Paris
Aleksandr Solzhenitsyn đã đạt được giải thưởng nổi bật nào?,Giải Thưởng Nhà Nước Liên Bang Nga
Arieh Warshel là giáo sư tại trường đại học nào?,/Weizmann Institute Of Science
Quốc tịch của nhà khoa học Abdus Salam là gì?,Pakistan
Aziz Sancar sinh ra ở đất nước nào?,Thổ Nhĩ Kỳ
Năm nào Charles Nicolle sinh?,1866
Thành phố nào Alfred Werner sinh ra?,Mulhouse
Amartya Sen làm việc tại đâu?,"Đại Học California, Berkeley"
Abdus Salam sinh vào năm nào?,1926
Albert Fert là giáo sư tại trường nào?,/Đại Học Paris-Sud 11
Thành phố nào mà Clifford Shull sinh ra?,Pittsburgh
Abdus Salam học tại trường nào?,"/Cao Đẳng Saint John, Cambridge"
"Bạn biết thành phố nào là nơi sinh của Alexander R. Todd, Baron Todd không?",Glasgow
Alfred Kleiner làm việc tại đâu?,Đại Học Zürich
Ai là người được ảnh hưởng bởi Arnold Sommerfeld?,/Léon Brillouin
Nơi Donald A. Glaser mất là ở đâu?,"Berkeley, California"
Charles G. Dawes học tại trường đại học nào?,/Đại Học Cincinnati
Danh sách người đoạt Giải Nobel Sinh lý học và Y khoa bao gồm những ai?,Danh Sách Người Đoạt Giải Nobel Sinh Lý Học Và Y Khoa
Ở thành phố nào Ben R. Mottelson sinh ra?,Chicago
Andre Geim làm việc tại đâu?,Đại Học Manchester
Brian P. Schmidt học tại trường đại học nào?,Đại Học Harvard
Ai là người hướng dẫn tiến sĩ của August Wilhelm Von Hofmann?,Không có người hướng dẫn tiến sĩ
Alice Munro đã từng đoạt giải thưởng văn học nổi bật nào?,Giải Nobel Văn Học
Trường đại học nào mà Antony Hewish từng làm việc tại?,Đại Học Cambridge
Quốc tịch của Carl Bosch là gì?,Đức
Học vị của David MacMillan là gì?,Cử Nhân Khoa Học
Đâu là giải thưởng danh giá dành cho phụ nữ trong lĩnh vực khoa học mà Anne L'Huillier từng nhận được?,/Giải Thưởng L'Oréal-UNESCO Dành Cho Phụ Nữ Trong Khoa Học
Quốc tịch của nhà hóa học nổi tiếng Benjamin List là gì?,Đức
Ai đã giành được Giải Smith?,/Giải Smith
Daniel Kahneman có học vị gì?,/Thạc Sĩ Nghệ Thuật
Alan Turing làm việc tại đâu?,Đại Học Manchester
Nơi sinh của Angus Deaton là ở đâu?,Edinburgh
Ai là người hướng dẫn tiến sĩ của Alfred Sturtevant?,Không có người hướng dẫn tiến sĩ
"Ai là người đã được gọi là ""/Vikram Sarabhai Ambalal""?",/Vikram Sarabhai Ambalal
Trường đại học nào Brian Kobilka đã tham gia giảng dạy tại?,"/Đại Học Minnesota, Duluth"
Ở đâu David MacMillan đã nhận học vị của mình?,"Đại Học California, Irvine"
Arthur Eddington đã từng được trao giải thưởng nào?,/Order Of Merit
Ai là người được ảnh hưởng bởi August Wilhelm Von Hofmann?,/William Henry Perkin
Albert Abraham Michelson làm việc tại đâu?,/Đại Học Clark
Ở đâu Charles Glover Barkla sinh ra?,Cheshire
Ai là người hướng dẫn luận án tiến sĩ của David Julius?,Randy Schekman
Albert Einstein đã làm việc tại đâu?,Đại Học Berlin Humboldt
Arthur Amos Noyes đã học tại trường đại học nào?,Đại Học Leipzig
Ai đã được trao Giải thưởng Charles K. Kao?,/Huân Chương Faraday
André-Louis Debierne mất ở quốc gia nào?,Pháp
Ai là phối ngẫu của Albert Szent-Györgyi?,/Marcia Houston
Carolyn R. Bertozzi đã đạt được giải thưởng nào?,/Giải Heinrich Wieland
Ai là người đầu tiên đoạt giải Nobel Kinh tế năm 2015?,Anh
Năm nào Albert Schweitzer mất đi?,1965
David MacMillan đạt được học vị nào?,/Tiến Sĩ Triết Học
Andre Geim đã từng giành giải thưởng nào?,Giải Ig Nobel
Abram Ioffe sinh ở đế quốc nào?,Đế Quốc Nga
C.V. Raman làm việc tại bộ nào ở Ấn Độ?,/Bộ Tài Chính Ấn Độ
Anne L'Huillier được trao giải thưởng nào trong lĩnh vực Vật Lý?,Giải Nobel Vật Lý
Quốc tịch của Dan Shechtman là gì?,Israel
"Ai là người đã nhận ""Giải Khoa Học Thế Giới Albert Einstein""?",Giải Khoa Học Thế Giới Albert Einstein
Danh sách những người đã giành Giải Nobel trong lĩnh vực Sinh lý học và Y khoa là gì?,Danh Sách Người Đoạt Giải Nobel Sinh Lý Học Và Y Khoa
Nơi sinh của Arthur Ashkin là ở đâu?,"Brooklyn, New York"
Anne L'Huillier học vị ở đâu?,Đại Học Sorbonne
Clifford Shull mất ở tiểu bang nào?,Massachusetts
Alfred Sturtevant học tại trường đại học nào?,Đại Học Columbia
Alfred Werner làm việc ở đâu?,Đại Học Zürich
Alfred Werner sinh ở đâu?,Alsace
Benjamin List làm việc tại đâu?,Đại Học Hokkaido
Đất nước nào là quê hương của nhà khoa học Chen Ning Yang?,Trung Quốc
Nơi Andrei Sakharov sinh là ở đâu?,Moskva
Claudia Goldin đã đạt giải thưởng nào?,/Giải IZA Về Kinh Tế Lao Động
Adam Riess đã nhận được giải thưởng nào?,Huy Chương Albert Einstein
Ai là người hướng dẫn luận án tiến sĩ của Adolf Von Baeyer?,August Kekulé
Năm nào Albert Fert đã giành Giải thưởng?,2003
Charles G. Dawes học vị gì trong lĩnh vực giáo dục?,Bachelor Of Arts
Andre Geim làm việc tại đâu?,"/Viện Vật Lý Chất Rắn, Viện Hàn Lâm Khoa Học Nga"
Albert Abraham Michelson sinh ở đâu?,Vương Quốc Phổ
Daniel Kahneman học vị của ông là gì?,"Đại Học California, Berkeley"
Antony Hewish làm việc ở đâu?,Phòng Thí Nghiệm Cavendish
August Wilhelm Von Hofmann qua đời ở đâu?,Berlin
Bạn từ đâu?,Zamora
Giải thưởng nào mà Carolyn R. Bertozzi đã nhận được trong lĩnh vực Hóa học?,/Welch Award In Chemistry
Ai là người ảnh hưởng đến Amartya Sen trong lĩnh vực triết học và triết lý?,/Martha Nussbaum
Ai đã được trao Giải Nobel Vật Lý?,Giải Nobel Vật Lý
Thành phố nào là nơi sinh của Abhijit Banerjee?,Mumbai
Abdulrazak Gurnah sinh ở đâu?,/Sultanate Of Zanzibar
Ai đã giành Giải Wolf Về Hóa Học?,Giải Wolf Về Hóa Học
Amartya Sen sinh ở đâu?,Ấn Độ Thuộc Anh
Ai là người đã giành được Giải Isaac Newton?,/Giải Isaac Newton
Nơi Albert Einstein sinh ra là đâu?,Ulm
Ai là Các nghiên cứu sinh nổi tiếng được đề cử trong Triple: Charles Hard Townes - Các nghiên cứu sinh nổi tiếng - /Robert Boyd?,/Robert Boyd
Ai là người hướng dẫn luận án tiến sĩ của David Julius?,/Jeremy Thorner
Ai đã được trao Giải Nobel Vật Lý?,Giải Nobel Vật Lý
Quốc tịch của Alan J. Heeger là gì?,Hoa Kỳ
"Ai là người được đề cập trong Triple ""Abdus Salam - Các nghiên cứu sinh nổi tiếng - Walter Gilbert""?",Walter Gilbert
Arthur Eddington đã được trao giải thưởng nào?,/Bruce Medal
Ai là người nghiên cứu nổi tiếng trong Triple: Abdus Salam - Các nghiên cứu sinh nổi tiếng - /Abdul Hameed Nayyar?,/Abdul Hameed Nayyar
Quốc tịch của Alan Greenspan là gì?,Hoa Kỳ
Adolf Von Baeyer làm việc ở đâu?,Đại Học Kỹ Thuật Berlin
"Bạn biết Alexander R. Todd, Baron Todd làm việc tại đâu không?",Đại Học Manchester
Bạn biết nơi sinh của Bertram Brockhouse là ở đâu không?,Alberta
Ai là người mà Amartya Sen ảnh hưởng tới?,/Jean Drèze
Ai là người đã được Alfred Werner công nhận là một trong những nghiên cứu sinh nổi tiếng trong lĩnh vực hóa học?,Paul Karrer
Quốc tịch của Charles T. R. Wilson là gì?,Scotland
Ai là người được hướng dẫn luận án tiến sĩ bởi Arthur Amos Noyes?,Wilhelm Ostwald
Ai đã giành Giải Demidov trong lĩnh vực nào?,Giải Demidov
Ai là người cộng tác với Carolyn R. Bertozzi trong lĩnh vực nghiên cứu?,/Lara Mahal
David MacMillan đang làm việc ở đâu?,Đại Học Harvard
Ahmed Zewail làm việc tại đâu?,Viện Công Nghệ California
Trường Đại học nào mà August Wilhelm Von Hofmann là giáo sư tại đó?,/Đại Học Giessen
Amartya Sen sinh ra ở đâu?,/Bengal Presidency
Daniel Kahneman đã nhận giải thưởng nào?,/Giải Thưởng Leontief
Charles G. Dawes đã đạt được bằng cấp nào trong lĩnh vực giáo dục?,/Bachelor Of Laws
Ai là người cộng tác với Abdus Salam trong các nghiên cứu nổi tiếng?,/Robert Delbourgo
Ai là người hướng dẫn luận án tiến sĩ cho Alfred Sturtevant?,Thomas Hunt Morgan
Ai là người đầu tiên phát hiện ra tín hiệu từ ngôi sao nơi vũ trụ không gian?,Anh
Ai là người đã làm việc cùng Albrecht Kossel trong các nghiên cứu sinh nổi tiếng?,/Edwin B. Hart
Đâu là nơi công tác của Daniel Kahneman?,/Trung Tâm Nghiên Cứu Cấp Cao Về Khoa Học Hành Vi
Alan J. Heeger sinh ở tiểu bang nào?,Iowa
Ai đã được trao Huy Chương Leeuwenhoek?,Huy Chương Leeuwenhoek
Năm nào Ahmed Zewail đã nhận Giải thưởng?,1998
Craig Mello đã giành được giải thưởng nào từ Viện Hàn Lâm Khoa Học Quốc Gia Hoa Kỳ?,Giải Sinh Học Phân Tử Của Viện Hàn Lâm Khoa Học Quốc Gia Hoa Kỳ
Ai là người đã ảnh hưởng đến Amartya Sen?,Karl Marx
Quốc tịch của Antony Hewish là gì?,Vương Quốc Anh
Albert Schweitzer đã từng dạy môn gì tại trường lớp?,Thần Học
Ai là người đã làm việc với Arnold Sommerfeld trong lĩnh vực nghiên cứu?,/Wilhelm Lenz
Amartya Sen làm việc ở đâu?,/Đại Học Jadavpur
Arnold Sommerfeld được trao giải thưởng nào?,Huy Chương Matteucci
Trường đại học nào mà Alfred Kastler từng làm giáo sư tại đó?,/École Normale Supérieure
Ai là người đã giành Giải Charles Stark Draper?,/Giải Charles Stark Draper
"Ai là người hướng dẫn luận án tiến sĩ của Alexander R. Todd, Baron Todd?",/Walter Borsche
Clive Granger làm việc ở đâu?,Đại Học Nottingham
"Nơi Alexander R. Todd, Baron Todd sinh là đâu?","/Cathcart, Glasgow"
Nơi Albert Einstein công tác là đâu?,Viện Hàn Lâm Khoa Học Phổ
Alfred Kastler sinh ở đâu?,Guebwiller
Quốc tịch của Alfred Kleiner là gì?,Switzerland
Alan Turing mất ở đâu?,Cheshire
"Trường đại học nào mà Alexander R. Todd, Baron Todd từng tham gia giảng dạy?",/Đại Học Frankfurt Am Main
Ai là người hướng dẫn luận án tiến sĩ của Adolf Von Baeyer?,/Robert Wilhelm Bunsen
Andrei Sakharov đã được trao giải thưởng nào?,Anh Hùng Lao Động Xã Hội Chủ Nghĩa
Ai là những người đã đoạt Giải Nobel Hóa Học?,Danh Sách Người Đoạt Giải Nobel Hóa Học
Ai đã được trao Giải Adams?,/Giải Adams
Nơi sinh của Donald A. Glaser là ở đâu?,"Cleveland, Ohio"
Bạn có biết Ales Bialiatski học vị ở đâu không?,/Francisk Skorina Gomel State University
Quốc tịch của Charles G. Dawes là gì?,Hoa Kỳ
Nơi công tác của Abdus Salam là gì?,/Học Viện Khoa Học Thế Giới
Ben R. Mottelson đã từng giảng dạy tại đâu?,Đại Học Purdue
Albert Abraham Michelson làm việc tại đâu?,Đại Học Chicago
Charles M. Rice học vị ở đâu?,Đại Học California Tại Davis
"Arthur Lewis, người nổi tiếng với lĩnh vực nào, đã từng làm việc tại đâu?",Đại Học Princeton
Ai là người thầy học của Arnold Sommerfeld?,/Heinrich Welker
Ở đâu Alexander Prokhorov sinh ra?,Queensland
Anton Zeilinger sinh ở đâu?,Ried Im Innkreis
Antony Hewish học vị gì?,"/King'S College, Taunton"
Ở đâu Abram Ioffe sinh ra?,Romny
Ai là người thân thiết nhất với Alan Turing trong số các nghiên cứu sinh nổi tiếng?,/Robin Gandy
Brian P. Schmidt sinh ở đâu?,"/Missoula, Montana"
Năm nào Alfred Sturtevant sinh ra?,1891
Avram Hershko sinh ở đâu?,Karcag
Năm sinh của nhà khoa học C. V. Raman là bao nhiêu?,1888
Trường đại học nào Clifford Shull từng làm giáo sư tại?,Đại Học New York
August Krogh làm việc ở đâu?,Đại Học Copenhagen
Angus Deaton học tại trường đại học nào?,"/Fitzwilliam College, Cambridge"
Ở đâu Alfred Kleiner sinh?,Zürich
"Ai là người hướng dẫn luận án tiến sĩ của Alexander R. Todd, Baron Todd?",/Sir
Ai là người được ảnh hưởng bởi Amartya Sen trong lĩnh vực kinh tế?,Tony Atkinson
Quốc tịch của Ben R. Mottelson là gì?,Hoa Kỳ
Ai là những người đã đoạt Giải Nobel Hóa Học?,Danh Sách Người Đoạt Giải Nobel Hóa Học
Alan MacDiarmid đã từng giảng dạy tại trường nào?,/Đại Học Victoria Wellington
Anton Zeilinger đã được trao giải thưởng nào vào lĩnh vực Vật Lý?,Giải Nobel Vật Lý
Ở đâu Aage Bohr sinh ra?,Copenhagen
Nơi Charles Richet sinh là ở đâu?,Paris
André Frédéric Cournand làm việc tại đâu?,/Columbia University College Of Physicians And Surgeons
Albert Szent-Györgyi làm việc ở đâu?,Đại Học Cambridge
Ai là người hướng dẫn luận án tiến sĩ của Clinton Davisson?,Không có người hướng dẫn tiến sĩ
Ai là thành viên của Hội Hoàng gia?,Fellow Of The Royal Society
Năm nào Albert Schweitzer sinh ra?,1875
Chen Ning Yang làm việc tại đâu?,Đại Học Trung Văn Hương Cảng
Ai là người đã nhận giải thưởng Paul Ehrlich Và Ludwig Darmstaedter?,Giải Paul Ehrlich Và Ludwig Darmstaedter
Charles T. R. Wilson đã theo học ở đâu?,Đại Học Manchester
Ai là người ảnh hưởng đến Amartya Sen?,Kenneth Arrow
Bạn có thể cho biết nơi Bernardo Houssay đã mất không?,Buenos Aires
Aaron Klug sinh ở đâu?,Litva
Ai là người được trao giải thưởng cùng với Charles J. Pedersen?,Jean-Marie Lehn
Ai không có người hướng dẫn tiến sĩ?,Không có người hướng dẫn tiến sĩ
Albert Einstein làm việc tại đâu?,ETH Zurich
David Card đã nhận giải thưởng nào?,/Giải BBVA Foundation Frontiers Of Knowledge
Cơ sở nghiên cứu nào mà Chen Ning Yang làm việc?,Viện Nghiên Cứu Cao Cấp Princeton
Andrea M. Ghez làm việc tại đâu?,"Đại Học California, Los Angeles"
Ai là người đồng nghiệp của Andre Geim trong các nghiên cứu nổi tiếng?,Konstantin Sergeevich Novoselov
Abdus Salam làm việc tại đâu?,/Thượng Ban Nghiên Cứu Không Gian Và Khí Quyển
Charles Glover Barkla làm việc ở đâu?,Đại Học Cambridge
Ai là người ảnh hưởng đến Christopher A. Pissarides?,/Dale Mortensen
Ai là những người đã đoạt Giải Nobel Vật Lý?,Danh Sách Người Đoạt Giải Nobel Vật Lý
Ai là người hướng dẫn luận án tiến sĩ của Alfred Werner?,/Arthur Rudolf Hantzsch
Albert Einstein sinh ở đâu?,Vương Quốc Württemberg
Ardem Patapoutian đã đoạt giải thưởng nào trong lĩnh vực Sinh Lý Học hoặc Y Học?,Giải Nobel Sinh Lý Học Hoặc Y Học
David Card đã nhận được giải thưởng nào?,Huy Chương Frisch
David Julius là giáo sư ở trường nào?,Viện Công Nghệ Massachusetts
Ai là nơi mà Alexander Prokhorov đã mất?,Moskva
Quốc gia nào là quê hương của Alfonso García Robles?,México
Ai là phối ngẫu của Charles G. Dawes?,/Caro Dawes
Thành phố nào là nơi sinh của Albert Fert?,Carcassonne
Alan MacDiarmid mất ở đâu?,/Drexel Hill
Quốc tịch của nhà kinh tế học nổi tiếng Bertil Ohlin là gì?,Thụy Điển
Alexis Carrel làm nghề gì?,Giải Phẫu Học
Ahmed Zewail đã giành giải thưởng nào?,Giải Wolf
David Hume sinh vào thời gian nào?,/Old Style
Ai đã được trao giải thưởng /ForMemRS?,/ForMemRS
Ai là những người đã đoạt giải Nobel Hóa Học?,Danh Sách Người Đoạt Giải Nobel Hóa Học
Alexandre Prokhorov sinh ở đâu?,Úc
Dmitry Muratov sinh ở đâu?,"Samara, Nga"
Quốc tịch của Bert Sakmann là gì?,Đức
Albert Fert sinh vào ngày nào?,7 Tháng 3
Bạn biết Andre Geim học tại trường nào không?,/Trường Đại Học Kỹ Thuật Vật Lý Moskva
Albert Einstein đã nhận học vị ở đâu?,ETH Zurich
Ai là vợ của Andrei Sakharov?,/Yelena Bonner
Ai không có người hướng dẫn tiến sĩ?,Không có người hướng dẫn tiến sĩ
Albert Einstein đã làm việc tại nơi nào?,Đại Học Zurich
Học vị cao nhất mà Abhijit Banerjee đạt được là gì?,Thạc Sĩ
"Ai là người được nhắc đến trong Triple ""Abdus Salam - Các nghiên cứu sinh nổi tiếng - /Masud Ahmad""?",/Masud Ahmad
Năm nào Albert Claude mất?,1983
Charles Glover Barkla là người nước nào?,Vương Quốc Liên Hiệp Anh Và Bắc Ireland
Ai là người đồng lao với Charles J. Pedersen và được trao Giải thưởng?,Donald J. Cram
Ai là vợ của Anwar Sadat?,Jehan Sadat
Carlos Saavedra Lamas sinh ở quốc gia nào?,Argentina
Albert Abraham Michelson là người đã từng học tại đâu?,Học Viện Hải Quân Hoa Kỳ
Ai là người đã được trao Giải Nobel Vật Lý?,Giải Nobel Vật Lý
Arieh Warshel làm việc tại đâu?,/Weizmann Institute Of Science
Ai là người cộng tác với Daniel Kahneman trong các nghiên cứu nổi tiếng?,/Avishai Henik
Andrei Geim sinh ở đâu?,Sochi
Abdus Salam làm việc tại đâu?,/Viện Khoa Học Và Công Nghệ Hạt Nhân Pakistan
"Bạn muốn hỏi: ""Abiy Ahmed đã học chuyên ngành gì khi theo học về Giáo dục?""",Master Of Business Administration
Cơ sở nào C. V. Raman làm việc tại?,/Viện Nghiên Cứu Raman
Trường đại học nào mà Christian B. Anfinsen đã tham gia giảng dạy?,/Swarthmore College
Ai là người sinh ra tại Giessen?,/Giessen
Anatole France sinh ở đất nước nào?,Pháp
Ai đã giành Giải Lemelson-MIT?,/Giải Lemelson-MIT
Năm nào Artturi Ilmari Virtanen được trao giải thưởng?,1945
Ai đã đoạt giải thưởng Massry?,/Giải Massry
Ai là những người đã đoạt Giải Nobel Sinh Lý Học Và Y Khoa?,Danh Sách Người Đoạt Giải Nobel Sinh Lý Học Và Y Khoa
Alan Turing mất ở quốc gia nào?,Anh
Quốc tịch của Adolf Butenandt là gì?,Đức
Danh sách người đoạt Giải Nobel Kinh Tế là gì?,Danh Sách Người Đoạt Giải Nobel Kinh Tế
Arnold Sommerfeld làm việc tại đâu?,/RWTH Aachen
Charles Thomson Rees Wilson sinh ra ở Scotland hay không?,Scotland
Năm nào Donald A. Glaser sinh ra?,1926
"Năm nào Alexander R. Todd, Baron Todd được sinh ra?",1907
Ai là người hướng dẫn tiến sĩ của Charles Glover Barkla?,Không có người hướng dẫn tiến sĩ
Ai là người tiếp tục và hoàn thiện các nghiên cứu về tốc độ ánh sáng của nhà vật lý nổi tiếng Albert Abraham Michelson?,Robert Millikan
Daniel Kahneman đã từng đoạt giải thưởng nào?,/Giải Thưởng Grawemeyer
Ai là người phối ngẫu của Bob Dylan?,/Sara Dylan
Donald A. Glaser sinh ở đâu?,Hoa Kỳ
Trường đào tạo nơi Aage Bohr đã từng làm giáo sư là gì?,Đại Học Copenhagen
Ai là người sinh tại Kendal?,/Kendal
Akira Yoshino sinh ở đâu?,Suita
Amartya Sen đã nhận được giải thưởng nào vào năm 1998?,/Huân Chương Nhân Văn Quốc Gia
"Nơi công tác của Alexander R. Todd, Baron Todd là đâu?",/Viện Lister
Ai là người nghiên cứu sinh nổi tiếng cùng với Arnold Sommerfeld?,/Paul Sophus Epstein
Andre Geim đã từng nhận được giải thưởng nào cho sự thăng tiến trong lĩnh vực khoa học?,Giải John J. Carty Cho Thăng Tiến Khoa Học
Bạn biết Amartya Sen từ nơi nào công tác?,Đại Học Calcutta
Thành phố nào là nơi Charles J. Pedersen mất?,Salem
Alice Munro sinh ra ở đất nước nào?,Canada
Ở thành phố nào Adam Riess sinh ra?,"Washington, D.C"
Trường đại học nào mà Arthur Ashkin đã từng tham gia giảng dạy?,Columbia University
Năm nào Abdus Salam được trao giải thưởng?,1968
Ai là người đã đoạt giải thưởng Nobel trong lĩnh vực Vật lý?,Giải Nobel Vật Lý
Albert Abraham Michelson đã từng giảng dạy tại trường lớp nào?,Đại Học Humboldt Berlin
Ngày nào Carl Bosch sinh?,27 Tháng 8
Ai là sinh viên nổi tiếng được kết nối với Arnold Sommerfeld?,/Herbert Kroemer
Danh sách các người đoạt giải Nobel Sinh lý học và Y khoa bao gồm những ai?,Danh Sách Người Đoạt Giải Nobel Sinh Lý Học Và Y Khoa
Amartya Sen sinh ở đâu?,Tây Bengal
Ở đâu Anatole France sinh?,Paris
Angus Deaton theo học ở trường nào?,/Fettes College
Ai đã được trao giải Nobel Kinh tế?,Giải Nobel Kinh Tế
Alan Turing sinh ở đâu?,/Maida Vale
Trường Đại học nào mà Dominique Pire từng tham dự làm giảng viên?,/Đại Học Giáo Hoàng Thánh Thomas Aquinas (''Angelicum''
Năm sinh của André Frédéric Cournand là năm nào?,1895
"Ai là người được biết đến trong lĩnh vực nghiên cứu sinh học và hóa học hữu cơ, cùng với Adolf Otto Reinhold Windaus?",Adolf Butenandt
Quốc tịch của Corneille Heymans là gì?,Bỉ
David MacMillan làm việc tại đâu?,Viện Công Nghệ California
Adolf Von Baeyer làm việc tại đâu?,Đại Học Strasbourg
Carl Bosch đã đạt được thành tựu gì trong lĩnh vực hóa học?,Giải Nobel Hóa Học
Charles K. Kao được trao giải thưởng nào?,/Huân Chương Hoàng Tử Philip
David Julius học tại trường đại học nào?,"Đại Học California, Berkeley"
Clifford Shull làm việc tại đâu?,/Phòng Thí Nghiệm Quốc Gia Oak Ridge
Nơi Alfred G. Gilman mất là ở đâu?,"Dallas, Texas"
Năm Bjørnstjerne Bjørnson mất là năm nào?,1910
Adolf Von Baeyer làm việc tại đâu?,Đại Học Humboldt Berlin
Nơi Albert Einstein mất là ở đâu?,"Princeton, New Jersey"
Người nào đã từng giành Giải Nobel Văn Học?,Giải Nobel Văn Học
Quốc tịch của Craig Mello là gì?,Hoa Kỳ
Ai là những người đã đoạt Giải Nobel Hóa Học?,Danh Sách Người Đoạt Giải Nobel Hóa Học
Ai là người ảnh hưởng đến Amartya Sen?,/Piero Sraffa
Abram Ioffe làm việc tại đâu?,/State Institute Of Roentgenology And Radiology
Andrew Schally làm việc ở đâu?,/Đại Học Tulane
Ai là người đã được trao Giải Nobel Vật Lý?,Giải Nobel Vật Lý
Ai là nghiên cứu sinh nổi tiếng liên quan đến Anton Zeilinger?,/Stefanie Barz
Carl David Anderson đã được trao giải thưởng nào trong lĩnh vực Vật Lý?,Giải Nobel Vật Lý
Học vị cao nhất mà Akira Yoshino đạt được là gì?,Thạc Sĩ Khoa Học
Abdus Salam làm việc tại tổ chức nào?,/Ủy Ban Khoa Học Và Công Nghệ Phát Triển Bền Vững Miền Nam Pakistan
Ai là người đồng nghiệp nổi tiếng của Abdus Salam trong lĩnh vực nghiên cứu?,/John Moffat
Giải thưởng nào mà Archer John Porter Martin đã nhận được?,/Giải Thưởng Của Viện Franklin
Alfred Kastler đã giảng dạy tại trường lớp nào?,Đại Học Paris
Alfred Sturtevant sinh ở tiểu bang nào?,Illinois
Ai là người cộng tác với Alfred Sturtevant trong các nghiên cứu sinh nổi tiếng?,Edward B. Lewis
Thành phố nào là nơi sinh của Dominique Pire?,Dinant
Alan Turing sinh ở đất nước nào?,Anh
David Julius đã được trao giải thưởng nào?,Giải Nobel Sinh Lý Học Hoặc Y Học
Quốc gia mà Andre Geim sinh ra là nước nào?,Liên Xô
Albert Fert làm việc tại đâu?,Trung Tâm Nghiên Cứu Khoa Học Quốc Gia Pháp
Chen Ning Yang học tại trường đại học nào?,Đại Học Chicago
Daron Acemoglu đã từng đoạt giải thưởng nào?,Giải John Bates Clark
Ai là người đã mất?,Anh
Ngày nào Augusto Pinochet qua đời?,10 Tháng 12
Ai là sinh viên nổi tiếng của Arnold Sommerfeld?,/Walter Romberg
Ai là người đã có các nghiên cứu nổi tiếng liên quan đến Abdus Salam?,/Munir Ahmad Rashid
Ai là quốc gia mà Abram Ioffe mất?,Xô Viết
Daniel Kahneman đã học vị ở đâu?,"/Đại Học Hebrew, Jerusalem"
Năm nào Alexander Prokhorov giành giải thưởng?,1964
Ai là người đã được trao /Huy Chương Elliott Cresson?,/Huy Chương Elliott Cresson
Ai là người hướng dẫn luận án tiến sĩ của Albert Einstein?,Alfred Kleiner
"Ai là người được đề cử trong Triple ""Anton Zeilinger - Các nghiên cứu sinh nổi tiếng - /Pan Jianwei""?",/Pan Jianwei
Clifford Shull đã được trao giải thưởng danh giá nào trong lĩnh vực Vật Lý?,Giải Nobel Vật Lý
Ai là người đã có mối quan hệ với Alfred Kleiner và được biết đến qua các nghiên cứu sinh nổi tiếng?,Albert Einstein
Albert Abraham Michelson làm việc tại đâu?,/Case Western Reserve University
Ben Roy Mottelson sinh ở đâu?,Hoa Kỳ
Ai là người học trò nổi tiếng của Arnold Sommerfeld?,/Ludwig Hopf
Quốc tịch của Arieh Warshel là gì?,USA
Ahmed Zewail mất ở đâu?,"Pasadena, California"
Quốc tịch của nhà khoa học Albert Fert là gì?,Pháp
Daniel Kahneman đã nhận giải thưởng nào?,/Đại Học Louisville
Anton Zeilinger làm việc tại trường đại học nào?,/Đại Học Innsbruck
Ai là người có liên quan đến Carl David Anderson và các sinh viên nổi tiếng?,/Cinna Lomnitz
Quốc gia nào Abhijit Banerjee sinh ra?,Ấn Độ
Bjørnstjerne Bjørnson mất ở quốc gia nào?,Pháp
Carol W. Greider đã nhận được giải thưởng nào trong lĩnh vực nghiên cứu y học cơ bản?,Giải Albert Lasker Cho Nghiên Cứu Y Học Cơ Bản
Quốc gia nào là quê hương của Anwar Sadat?,Ai Cập
Ai đã được trao giải thưởng Nobel Vật Lý?,Giải Nobel Vật Lý
Andre Geim làm việc tại đâu?,/Đại Học Radboud Tại Nijmegen
Quốc tịch của Artturi Ilmari Virtanen là gì?,Phần Lan
Trường cao đẳng nào Charles K. Kao đã tham gia học tại?,"/Cao Đẳng St. Joseph, Hồng Kông"
Năm Anatole France mất là năm nào?,1924
Ai là người hướng dẫn luận án tiến sĩ của Ben R. Mottelson?,Không có người hướng dẫn tiến sĩ
Học vị cao nhất mà Carl David Anderson đạt được là gì?,Ph.D
Adolf Von Baeyer mất ở đâu?,Starnberg
Nơi Albert Einstein công tác là /Hiệp Hội Vật Lý Đức?,/Hiệp Hội Vật Lý Đức
Nơi Charles J. Pedersen mất là ở đâu?,New Jersey
Charles T. R. Wilson học tại trường lớp nào?,Đại Học Cambridge
Quốc tịch của Carol W. Greider là gì?,Hoa Kỳ
"Ai được trao danh hiệu ""/Knights Bachelor""?",/Knights Bachelor
Alan Turing hướng dẫn luận án tiến sĩ cho ai?,/Alonzo Church
Ai là người nghiên cứu sinh nổi tiếng trong Triple: Carolyn R. Bertozzi - Các nghiên cứu sinh nổi tiếng - /Mireille Kamariza?,/Mireille Kamariza
Nơi công tác của Albert Einstein là gì?,"/Viện Nghiên Cứu Cao Cấp Princeton, New Jersey"
Nơi Arieh Warshel sinh ra là đâu?,Kibbutz
Nơi Barbara McClintock mất là ở đâu?,New York (Tiểu Bang
Ai là người đã sinh ra Abdus Salam?,/Santokdas
Andrea M. Ghez nghiên cứu tại trường lớp nào?,Viện Công Nghệ Massachusetts
